from,to,dx,dy,dtheta
56,57,0.4036194086250864,0.023930268381851916,0.08904712659262329
57,58,0.42204299799795797,-0.059229816925544215,0.21351386846495246
58,59,0.6590886400434494,-0.5436312057622676,-0.18170122152304427
59,60,0.3802728674553868,-0.3483117024026147,0.27921494285460824
60,61,0.5527285260597898,-0.4736382130151404,-0.022471741832447684
61,62,0.578595912003726,-0.2980304015212803,0.17837889406085214
62,63,0.6648034112201222,-0.04854974592185718,0.03163426070346044
63,64,0.27075699843461143,-0.12640921413345343,0.02621419268193137
64,65,0.5840140405619784,-0.5550948881866893,-0.21964092335828203
65,66,0.6417306259730893,-0.112315191982688,0.18107077066046026
66,67,0.5619533890137839,-0.3933925957542478,0.1988503046149532
67,68,0.36720877352837383,-0.17466788212984374,-0.15181475111626624
68,69,0.36527552834496724,-0.27325825235363377,0.04821758064811186
69,70,0.45708860648705785,0.08075440563968211,-0.15680895557653418
70,71,0.5239702820296795,-0.46309118703446506,0.19614498566502753
71,72,0.4631303878375829,0.11025117486880043,-0.24866342418846815
72,73,0.6359461007341196,-0.09999948159832875,0.17069104685098183
73,74,0.5063891998319511,-0.3669778304842105,0.30692219120464276
74,75,1.1343745679611739,-0.20743400170307674,-0.17163918418060892
75,76,0.7564466864307589,0.10312422579319641,-0.05012318222115915
76,77,0.39917247845969606,-0.2880458657702976,-0.2679871461753047
77,78,0.3383205798673014,-0.3506553813123795,-2.23486234325887e-05
78,79,0.3916091007798912,-0.1503812335223087,0.2282622047938493
79,80,0.39123660600448285,0.05663788392686822,-0.08809310192467108
80,81,0.5214590438510447,0.00694366806326549,-0.24791907737454413
81,82,0.6350335857123663,-0.06585644180886138,0.08484856405660496
82,83,0.46053807844488054,0.21500386471700272,-0.017287569144024545
83,84,0.38180200258272673,-0.08013307933051655,-0.13850183800210852
84,85,0.3903719653181994,-0.0793698631765909,0.2721610206783388
85,86,0.45922126212851067,-0.17795770603364058,0.15513856174259205
86,87,0.3627354035557574,0.07376139312940164,0.04156184642331426
87,88,0.1564381741432827,0.2162031191622389,0.5209226723738516
88,89,0.43210620656121107,-0.1885613534708312,0.04072325219043608
89,90,0.54859442662321,0.09886264250020166,0.38181850111700755
