id,x,y,theta
243,40.123,4.84574,-1.97283
244,39.818,4.15146,-1.91568
245,39.5991,3.51448,-1.84108
246,39.469,2.94783,-1.79484
247,39.3376,2.35077,-1.7443
248,39.2386,1.81698,-1.67521
249,39.1559,1.14791,-1.61352
250,39.0908,0.577506,-1.54729
251,39.1493,-0.105394,-1.48128
252,39.2103,-0.657308,-1.40678
253,39.2102,-1.24176,-1.33332
254,39.2891,-1.83976,-1.27273
255,39.3232,-2.44796,-1.20746
256,39.5195,-3.04472,-1.13683
257,39.7317,-3.6165,-1.06395
258,40.0426,-4.17278,-0.997794
259,40.2671,-4.78591,-0.94085
260,40.6601,-5.30189,-0.897808
261,41.0752,-5.63709,-0.844986
262,41.4861,-6.16896,-0.796038
263,42.0263,-6.66259,-0.736267
264,42.5373,-7.09627,-0.678479
265,42.9488,-7.44378,-0.617362
266,43.4582,-7.95492,-0.573145
267,43.9947,-8.30438,-0.524248
268,44.5307,-8.59754,-0.465141
269,45.0742,-8.78257,-0.413436
270,45.7277,-9.00478,-0.3496
271,46.3508,-9.22308,-0.286198
272,47.024,-9.35098,-0.219657
273,47.6748,-9.41996,-0.152171
274,48.3901,-9.46303,-0.0814402
275,49.03,-9.49766,-0.0341783
276,49.6604,-9.42642,0.0180369
277,50.3247,-9.41532,0.0759307
278,50.8807,-9.37418,0.149287
279,51.3977,-9.22702,0.203238
280,51.9412,-9.01415,0.263122
281,52.5929,-8.82937,0.316875
282,53.1354,-8.5313,0.38639
283,53.6978,-8.24586,0.445363
284,54.1813,-7.91507,0.505919
285,54.756,-7.5675,0.58062
286,55.2535,-7.23432,0.641875
287,55.7483,-6.6965,0.709602
288,56.2028,-6.18663,0.781888
289,56.5936,-5.69439,0.837343
290,56.9871,-5.17866,0.909534
291,57.4698,-4.5966,0.97245
292,57.7474,-3.93663,1.01508
293,58.074,-3.31792,1.09193
294,58.2548,-2.62848,1.15889
295,58.4037,-2.03373,1.22417
296,58.5793,-1.43031,1.28202
297,58.7689,-0.893092,1.35551
298,58.8932,-0.286123,1.4227
299,58.9039,0.397218,1.4766
0,8.94327,0.936243,1.59196
100,33.89,0.962917,1.57992
0,8.83292,1.08768,1.51613
